rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
59,marvel,82,7000.0,0.42039018250471993,0.06033918207890161,0.0051,339000.0,0.27702552988705653,Turkey
60,justintimberlake,87,780.0,0.41661422278162374,0.12088160242079354,0.003,189400.0,0.054926743095457066,United States
61,camila_cabello,77,2900.0,0.40528634361233484,0.41435765417880455,0.0219,1400000.0,0.653402416703849,United States
62,willsmith,82,1400.0,0.3914411579609818,0.30144750807307547,0.0002,0.0,0.22846077029779302,United States
63,raffinagita1717,83,11141.25,0.38640654499685334,0.07266897003364722,0.0058,366600.0,0.8233790752662714,Indonesia
64,anitta,82,5100.0,0.381371932032725,0.1784883589639365,0.0069,426200.0,0.5319905177306902,United States
65,sooyaaa__,82,830.0,0.37885462555066085,1.0,0.0943,3018875.0,0.4591433783467948,Unknown
66,maluma,84,8200.0,0.3775959723096287,0.25628344963078387,0.011200000000000002,696300.0,0.9999999999999999,Colombia
67,akshaykumar,85,1900.0,0.3775959723096287,0.3240295372942213,0.0101,624900.0,0.34987266927095184,Unknown
68,jacquelinef143,85,2400.0,0.3763373190685966,0.233701420409638,0.0115,718800.0,0.33773147937363596,India
69,psg,86,10000.0,0.3662680931403398,0.09832215522886886,0.0052,322200.0,0.6048376571145855,France
70,roses_are_rosie,82,820.0,0.3650094398993078,1.0,0.09720000000000001,3018875.0,0.4591433783467948,Unknown
71,manchesterunited,85,9900.0,0.33731906859660166,0.07151728654336878,0.0040999999999999995,241600.0,0.4591433783467948,United Kingdom
72,anushkasharma,85,1200.0,0.3360604153555695,0.41435765417880455,0.023399999999999997,1400000.0,0.26488433998974065,Unknown
